Alias,I-Music,I-Movies,I-Travel,I-Photo,I-Sport,I-Painting,I-Books,I-Food,I-Programming,I-UX,I-Gamming,I-GameDev,I-Dance,I-Art/Design,I-Vis,I-Science,I-Create,I-Nat/Sust,I-Tech,S-InfVis,S-Stat,S-Math,S-Art,S-PC,S-Prog,S-PCGraph,S-HPCInter,S-UX,S-Comm,S-Collab,S-Repo
Hannah Abbott ,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,4,3,3,4,10,4,6,4,3,6,10,6
Ludo Bagman ,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,8,6,4,7,6,4,4,1,10,5,9
Bathilda Bagshot ,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,2,3,4,8,6,1,4,3,6,10,5
Katie Bell ,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,6,6,8,10,5,5,4,4,4,8
Cuthbert Binns,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,5,6,4,9,8,8,6,4,7,7,8
Phineas Nigellus Black,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,1,7,7,1,3,4,7,8,2
Sirius Black,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,3,5,4,7,4,1,2,3,5,5,3
Amelia Bones ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,5,3,7,2,9,4,1,3,4,9,7,7
Susan Bones ,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4,4,5,9,6,3,5,4,7,8,5
Terry Boot,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,5,7,9,6,1,4,3,7,8,8
Lavender Brown,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,4,5,5,5,1,3,2,7,8,3
Millicent Bulstrode,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,6,5,5,2,4,3,4,6,4,1
Charity Burbage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,3,4,8,8,7,1,4,4,7,8,8
Frank Bryce,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,4,1,5,5,1,3,3,8,8,2
Alecto Carrow,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,5,8,4,9,7,5,4,3,9,4,7
Amycus Carrow,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,5,1,5,9,9,5,5,5,5,10,10,5
Reginald Cattermole,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,4,5,7,10,7,6,6,8,10,10,5
Mary Cattermole ,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,4,1,6,5,1,4,2,10,7,9
Cho Chang ,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,5,1,7,5,5,5,3,8,8,6
Penelope Clearwater ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,4,2,4,5,5,2,2,4,8,5,3
Michael Corner,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,6,5,7,4,1,1,2,8,10,9,7
Vincent Crabbe,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,3,7,3,1,3,1,7,10,6
Colin Creevey,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,7,7,6,7,5,2,2,3,9,9,2
Fleur Delacour ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,7,7,9,9,8,4,9,8,9,9,9
Amos Diggory,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,6,5,6,1,7,7,8,7,9,9,6,7
Albus Dumbledore,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,5,8,8,1,7,5,1,5,7,9,8,8
Seamus Finnigan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,3,7,3,8,7,2,4,2,8,7,6
Marcus Flint,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,2,5,8,6,4,1,3,2,10,6,6
Filius Flitwick ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,6,8,8,5,7,7,9,9,9
Cornelius Fudge,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8,4,3,8,7,3,1,1,4,5,7
Gellert Grindelwald ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,4,8,7,3,1,3,3,3,4,5
Godric Gryffindor ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,6,10,5,3,2,7,7,3,2
Rubeus Hagrid ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,7,6,6,6,7,4,4,2,4,4,3
Rolanda Hooch ,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,4,5,5,6,6,2,4,6,10,8,9
Helga Hufflepuff,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,6,3,7,6,2,6,5,8,8,7
Hermione Granger,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,1,7,4,2,5,8,7,9,5
Igor Karkaroff ,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,5,6,8,6,1,1,4,9,10,6
Viktor Krum,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6,4,5,6,6,7,4,4,6,7,6,7
Silvanus Kettleburn ,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,3,4,5,5,4,2,2,5,10,6,6
Bellatrix Lestrange,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,5,7,6,8,2,2,3,4,7,8,7
Neville Longbottom,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,5,5,6,5,5,5,4,7,7,3
Xenophilius Lovegood ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,5,8,8,2,4,5,9,7,5
Remus Lupin,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,4,6,9,6,4,8,7,3,6,5
Draco Malfoy,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5,5,8,7,5,6,6,10,8,8
Ernie Macmillan,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1,1,10,10,2,1,8,5,8,9
Minerva McGonagall,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,3,4,8,8,6,4,7,8,9,9,9
Cormac McLaggen,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,3,3,3,2,1,1,7,7,8,4
Graham Montague,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,3,4,6,8,8,2,1,3,7,9,10,3
Theodore Nott,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,5,5,8,8,6,4,4,3,6,7,9
Garrick Ollivander ,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,4,6,3,8,5,1,2,7,9,9,7
Pansy Parkinson,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,8,7,7,9,8,8,6,6,8,9,6
Peter Pettigrew ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5,6,2,6,3,3,3,8,10,8,4
Antioch Peverell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,5,4,1,1,1,6,8,7,3
Irma Pince,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,8,5,10,9,3,1,3,7,6,8,1
Sturgis Podmore ,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,2,3,3,4,1,1,2,3,7,7,2
Poppy Pomfrey ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,4,5,3,7,7,3,4,4,8,8,3
Harry Potter ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,2,8,2,3,3,3,3,8,2
James Potter ,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,8,5,1,3,4,8,7,7,2
Lily Potter,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,6,5,6,6,3,4,4,7,8,9,2
Quirinus Quirrell,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,2,7,8,9,7,7,7,3,7,7,6
Helena Ravenclaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,8,8,7,5,5,6,6,7,5,5
Rowena Ravenclaw,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,5,8,6,2,6,6,7,3,5
Tom Marvolo Riddle,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,3,5,5,8,5,2,3,5,10,10,5
Demelza Robins ,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,6,6,4,10,7,5,5,5,8,9,8
